date,Taylor Swift,"Taylor Swift
(American singer-songwriter)","Taylor Swift
(Topic)","Zayn
(English singer)","Taylor Swift
(Studio album by Taylor Swift)","wonderstruck enchanted taylor swift
(Topic)"
2024-11-30,63,72,28,100,4,0
2024-12-01,51,48,17,81,3,0
2024-12-02,40,39,13,58,2,0
2024-12-03,39,35,14,55,2,0
2024-12-04,47,37,14,68,3,0
2024-12-05,45,38,14,56,3,0
2024-12-06,51,43,16,62,3,0
2024-12-07,74,55,16,62,3,0
2024-12-08,75,62,32,60,4,0
2024-12-09,100,100,100,56,5,0
2024-12-10,54,54,54,76,3,0
2024-12-11,41,41,39,62,4,0
2024-12-12,46,44,41,95,2,0
2024-12-13,90,96,45,73,100,0
2024-12-14,62,73,34,64,25,0
2024-12-15,54,63,43,74,3,0
2024-12-16,39,38,19,50,3,0
2024-12-17,35,35,24,52,3,0
2024-12-18,33,31,25,47,2,0
2024-12-19,36,37,20,49,3,0
2024-12-20,35,34,12,47,2,0
2024-12-21,44,48,10,45,3,0
2024-12-22,39,41,9,47,2,0
2024-12-23,33,33,14,46,2,0
2024-12-24,34,33,15,48,2,0
2024-12-25,59,80,25,48,3,0
2024-12-26,39,42,11,53,2,100
2024-12-27,35,34,8,54,2,0
2024-12-28,36,35,7,58,2,0
2024-12-29,38,37,7,54,2,0
2024-12-30,32,31,6,50,2,0
2024-12-31,39,37,6,68,2,0
